graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100000","295311","2418324.2","10.722599999999998","0","0.00000188482","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100000","295311","2418324.2","9.4924","57","0.00000125606","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100000","295311","2418324.2","9.152199999999999","55","0.00000314162","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100000","295311","2418324.2","8.607000000000001","57","0.00000125606","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","100000","295311","2418324.2","8.3286","52.2","0.00000302106","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500000","308957.8","2817120.6","10.852599999999999","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500000","308957.8","2817120.6","10.902000000000001","0","9.02022e-7","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500000","308957.8","2817120.6","9.3342","53.4","0.0000021317600000000002","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500000","308957.8","2817120.6","9.356799999999998","53.6","0.0000024540000000000006","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500000","308957.8","2817120.6","8.766200000000001","53.4","0.0000021317600000000002","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","500000","308957.8","2817120.6","8.8028","52.6","0.0000024539800000000004","pagerankLevelwise [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000000","310050.2","3313715.2","10.991800000000001","0","0","pagerankNvgraph [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000000","310050.2","3313715.2","11.027999999999999","0","5.6687e-7","pagerankNvgraph [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000000","310050.2","3313715.2","8.8094","47.4","0.0000031816599999999997","pagerankMonolithic [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000000","310050.2","3313715.2","8.839400000000001","47.6","0.00000328064","pagerankMonolithic [dynamic]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000000","310050.2","3313715.2","8.656","47.4","0.0000031816599999999997","pagerankLevelwise [static]"
"web-Stanford","281903","2312497","9.422","63","0","pagerankMonolithic","1000000","310050.2","3313715.2","8.6824","46.6","0.00000328064","pagerankLevelwise [dynamic]"
"web-BerkStan","685230","7600595","21.311","64","0","pagerankMonolithic","1","685230.2","7605340.2","16.623399999999997","0","0","pagerankNvgraph [static]"
